round,planned aquaculture sites,average number of complaints,average fisherman capital,total fish quantity,number of aquacultures,average fisherman fitness
0.0000000000,149.0000000000,15.7500000000,1.6620694056,85.9656946551,5.0000000000,1.4906587426
1.0000000000,86.0000000000,21.6000000000,0.9929830463,57.5504811962,10.0000000000,1.2843580301
2.0000000000,50.0000000000,20.0000000000,0.7020156958,43.8543222139,15.0000000000,1.2724479263
3.0000000000,27.0000000000,17.1428571429,0.5528485911,31.8305302944,20.0000000000,1.3093525622
4.0000000000,9.0000000000,14.5000000000,0.5675303256,26.2795099307,25.0000000000,1.4249798600
5.0000000000,4.0000000000,10.6666666667,0.6792798474,22.6419050965,28.0000000000,1.5855709385
6.0000000000,0.0000000000,8.3333333333,0.6536557884,22.6419050965,28.0000000000,1.6262770226
7.0000000000,0.0000000000,8.3333333333,0.6412882282,22.6419050965,28.0000000000,1.6185004506
8.0000000000,0.0000000000,8.3333333333,0.5416290093,22.6419050965,28.0000000000,1.5558359418
9.0000000000,0.0000000000,8.3333333333,0.6176817442,22.6419050965,28.0000000000,1.6036569796
