round,Hearing 1,Hearing 2,Hearing 3
0,3.1,3,3
1,1.6,1.6,1.6
2,6,6,6
3,4.857142857,4.857142857,4.857142857
4,4.75,4.75,1.425
5,4.651162791,4.651162791,0.4651162791
6,4.545454546,4.545454546,0
7,4.545454546,4.545454546,0
8,4.545454546,4.545454546,0
9,4.545454546,4.545454546,0
10,4.545454546,4.545454546,0
11,4.545454546,4.545454546,0
12,4.545454546,4.545454546,0
13,4.545454546,4.545454546,0
14,4.545454546,4.545454546,0
15,4.545454546,4.545454546,0
16,4.545454546,4.545454546,0
17,4.545454546,4.545454546,0
18,4.545454546,4.545454546,0
19,4.545454546,4.545454546,0
20,4.545454546,4.545454546,0
21,4.545454546,4.545454546,0
22,4.545454546,4.545454546,0.4545454545
23,4.444444444,4.444444444,0
24,4.444444444,4.444444444,0
25,4.444444444,4.444444444,0
26,4.444444444,4.444444444,0
27,4.444444444,4.444444444,0
28,4.444444444,4.444444444,0
29,4.444444444,4.444444444,0.4444444444
