round,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,20.7,19.55,18.85,12.75,16.45,22.3,13.5,19.65,15.1,9.9,12.6,16.55,13.75,12.1,19.55,12.05,16.85,18,15.3,15.05
1,1.2,3.6,18.2,1.2,2.4,22.8,1.2,22.8,5.24,1.2,7.4,2.4,21.6,1.2,3.88,20.4,21.64,24,21.6,18.44
2,0,2,17.13333333,1.166666667,1,19,1,19,2,0,6,2,18.26666667,1,3.8,17,20,20,18,12.93333333
3,0,0.8571428571,14.62857143,1.057142857,0,17.05714286,0.8571428571,12.48571429,0.8571428571,0,4.457142857,0,14.71428571,0.8571428571,0.8571428571,2.571428571,17.14285714,17.14285714,15.42857143,9.457142857
4,0,0,14.3,0.975,0,10.5,0.825,11.5,0,0,2.05,0,11.6,0,0.3,0.75,10.5,15,13.5,9.25
5,0,0,11.02222222,0.2666666667,0,11.2195122,9.644444444,10,0,0,1.111111111,0,8.133333333,0,0.1111111111,0,10.24390244,11.55555556,8.866666667,7.466666667
6,0,0,8.163265306,0.28,0,9.090909091,6.74,10,0,0,0.94,0,6.891304348,0,0.44,0,9.523809524,8.163265306,10.43478261,5.744680851
7,0,0,8.163265306,0.2727272727,0,9.545454546,8,10,0,0,0.5454545455,0,6.5,0,0.4181818182,0,11.42857143,8.163265306,9.387755102,4.480769231
8,0,0,8.571428571,0.25,0,9.333333333,7.6,10,0,0,0.2833333333,0,7.02173913,0,0.6333333333,0,9.090909091,8.163265306,9.411764706,3.884615385
9,0,0,8,0.2615384615,0,9.565217391,7.2,10,0,0,0.2615384615,0,7.086956522,0,0.6935483871,0,9.090909091,8.163265306,7.547169811,4.5
10,0,0,8,0,0,8.510638298,7.2,10,0,0,0,0,7.106382979,0,0.8225806452,0,9.545454546,8.163265306,7.547169811,4.326923077
11,0,0,8,0,0,8.510638298,8,10,0,0,0,0,7.914893617,0,1.064516129,0,8.888888889,8.163265306,7.547169811,4.615384615
12,0,0,7.6,0,0,8.489361702,7.2,10,0,0,0,0,6.354166667,0,1.126984127,0,8.888888889,8.163265306,7.547169811,4.396226415
13,0,0,8.8,0,0,8.936170213,7.2,10,0,0,0,0,6.612244898,0,1.174603175,0,8.888888889,8.163265306,7.547169811,4.358490566
14,0,0,7.692307692,0,0,8.75,7.2,10,0,0,0,0,5.632653061,0,1.126984127,0,8.888888889,8.163265306,7.547169811,4.490566038
15,0,0,8.461538462,0,0,8.571428571,8,10,0,0,0,0,5.612244898,0,1.158730159,0,8.888888889,8.163265306,7.547169811,4.20754717
16,0,0,7.407407407,0,0,8,7.2,10,0,0,0,0,6.06122449,0,1.174603175,0,8.888888889,8.163265306,7.924528302,4.452830189
17,0,0,6.666666667,0,0,8,7.2,10.5,0,0,0,0,6.102040816,0,1.190476191,0,8.888888889,8.163265306,7.407407407,4.113207547
18,0,0,6.666666667,0,0,8,6.8,9.756097561,0,0,0,0,5.836734694,0,1.238095238,0,8.888888889,8.163265306,7.407407407,4.075471698
19,0,0,7.407407407,0,0,8,6.8,9.756097561,0,0,0,0,6.12244898,0,1.222222222,0,8.888888889,8.163265306,7.407407407,4.735849057
20,0,0,7.037037037,0,0,8.4,7.2,9.756097561,0,0,0,0,5.836734694,0,1.222222222,0,9.333333333,8.163265306,7.037037037,3.849056604
21,0,0,7.407407407,0,0,7.843137255,8,9.756097561,0,0,0,0,6.408163265,0,1.190476191,0,8.695652174,8.163265306,7.407407407,3.759259259
22,0,0,7.407407407,0,0,7.843137255,7.2,10.73170732,0,0,0,0,5.836734694,0,1.222222222,0,8.695652174,8.163265306,7.407407407,3.545454546
23,0,0,7.407407407,0,0,7.843137255,8,9.302325581,0,0,0,0,5,0,1.222222222,0,8.695652174,8.163265306,7.777777778,3.607142857
24,0,0,7.037037037,0,0,7.843137255,8,9.302325581,0,0,0,0,5.72,0,1.174603175,0,8.695652174,8.163265306,6.545454546,2.789473684
25,0,0,7.407407407,0,0,7.843137255,8,9.302325581,0,0,0,0,5.58,0,1.222222222,0,8.695652174,8.163265306,5.818181818,2.964912281
26,0,0,4.814814815,0,0,7.843137255,8,9.302325581,0,0,0,0,5.647058824,0,1.142857143,0,9.130434783,8.163265306,5.818181818,3.035087719
27,0,0,7.407407407,0,0,7.843137255,8.4,9.302325581,0,0,0,0,6.568627451,0,1.190476191,0,8.510638298,8.571428571,7.272727273,3
28,0,0,7.407407407,0,0,7.843137255,7.843137255,9.302325581,0,0,0,0,5.843137255,0,1.492063492,0,8.510638298,8,6.545454546,3
29,0,0,7.037037037,0,0,7.843137255,7.843137255,9.302325581,0,0,0,0,5.607843137,0,0.671875,0,8.510638298,8,7.272727273,3.263157895
